table_name,status,n_rows,n_cols,profile,institution,report_date,missing_pct,encoding_issues,date_parse_errors,type_coercion_warnings,error
bb_2013_03_marco_entrada_bb_20130401,treated,516,34,colunar_denso,bb,2013-04-01,2.827177382580939,,,,
bb_2013_03_marco_entrada_bb_20130415,treated,550,34,colunar_denso,bb,2013-04-15,3.0053475935828877,,,,
bb_2013_04_abril_entrada_bb_20130429,treated,552,34,colunar_denso,bb,2013-04-29,3.0051150895140664,,,,
bb_2013_05_maio_entrada_bb_20130506,treated,580,34,colunar_denso,bb,2013-05-06,7.657200811359026,,,,
bb_2013_05_maio_entrada_bb_20130513,treated,580,34,colunar_denso,bb,2013-05-13,6.561866125760648,,,,
bb_2013_06_junho_entrada_bb_20130604,treated,680,34,colunar_denso,bb,2013-06-04,2.9930795847750864,,,,
bb_2013_06_junho_entrada_bb_20130618,treated,680,34,colunar_denso,bb,2013-06-18,2.9930795847750864,,,,
bb_2013_06_junho_entrada_bb_20130630,treated,680,34,colunar_denso,bb,2013-06-30,2.9930795847750864,,,,
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,treated,2,6,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_beneficiarios_fgts,treated,30552,16,colunar_denso,bb,2013-06-01,1.4806722964126735,,,,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pf_fgts,treated,38232,30,colunar_denso,bb,2013-06-01,2.3271953686266307,,,,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_empreendimentos,treated,1374,7,lookup,bb,2013-06-01,0.0,,,,
bb_2013_06_junho_pmcmv_18062013_tab_operacoes,treated,1338,34,colunar_denso,bb,2013-06-01,1.7013980480084412,,,,
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,treated,200,11,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_07_julho_entrada_bb_20130716,treated,680,34,colunar_denso,bb,2013-07-16,2.9930795847750864,,,,
bb_2013_11_novembro_entrada_bb_20131120,treated,926,34,colunar_denso,bb,2013-11-20,3.0110532333883877,,,,
bb_2013_11_novembro_entrada_bb_20131204,treated,926,34,colunar_denso,bb,2013-12-04,3.01740566637022,,,,
bb_2013_12_dezembro_entrada_bb_20131218,treated,1002,34,colunar_denso,bb,2013-12-18,3.005753199483386,,,,
bb_2013_12_dezembro_entrada_bb_20131223__aux_bb_far,treated,342,26,colunar_denso,bb,2013-12-01,1.6419253261358524,,,,
bb_2013_12_dezembro_entrada_bb_20140102,treated,1116,34,colunar_denso,bb,2014-01-02,2.9991566519080752,,,,
bb_2014_01_janeiro_entrada_bb_20140116,treated,1130,34,colunar_denso,bb,2014-01-16,2.9984383133784487,,,,
bb_2014_02_fevereiro_entrada_bb_20140217,treated,1036,34,colunar_denso,bb,2014-02-17,3.0036338859868272,,,,
bb_2014_02_fevereiro_entrada_bb_20140306,treated,1048,34,colunar_denso,bb,2014-03-06,3.002918724741805,,,,
bb_2014_03_marco_entrada_bb_20140401,treated,1174,34,colunar_denso,bb,2014-04-01,12.195610782643552,,,,
bb_2014_04_abril_entrada_bb_20140415,treated,1188,34,colunar_denso,bb,2014-04-15,9.546444840562488,,,,
bb_2014_04_abril_entrada_bb_20140430,treated,1188,34,colunar_denso,bb,2014-04-30,7.4074074074074066,,,,
bb_2014_05_maio_entrada_bb_20140516,treated,1188,34,colunar_denso,bb,2014-05-16,7.4074074074074066,,,,
bb_2014_05_maio_entrada_bb_20140530,treated,1132,34,colunar_denso,bb,2014-05-30,2.998337144044897,,,,
bb_2014_06_junho_entrada_bb_20140615,treated,1188,34,colunar_denso,bb,2014-06-15,6.738958209546444,,,,
bb_2014_06_junho_entrada_bb_20140625,treated,1214,34,colunar_denso,bb,2014-06-25,4.956875666246729,,,,
bb_2014_06_junho_entrada_bb_20140701,treated,1274,34,colunar_denso,bb,2014-07-01,2.991966017176101,,,,
bb_2014_07_julho_entrada_bb_20140731,treated,1278,34,colunar_denso,bb,2014-07-31,2.991807051459081,,,,
bb_2014_08_agosto_entrada_bb_20140818_antigo,treated,1442,34,colunar_denso,bb,2014-08-01,12.01762258301379,,,,
bb_2014_08_agosto_entrada_bb_20140829_antigo,treated,1442,34,colunar_denso,bb,2014-08-01,11.246634576160561,,,,
bb_2014_09_setembro_entrada_bb_20140930,treated,1442,34,colunar_denso,bb,2014-09-30,10.806070000815861,,,,
bb_2014_10_outubro_2014_10_30_min_cidades_pf_pf,treated,98270,20,colunar_denso,bb,2014-10-01,0.0,,,,
bb_2014_10_outubro_2014_10_30_min_cidades_pj,treated,1706,25,colunar_denso,bb,2014-10-01,0.0,,,,
bb_2014_10_outubro_2014_10_30_min_cidades_pj_pf,treated,148948,18,colunar_denso,bb,2014-10-01,0.0,,,,
bb_2014_10_outubro_2014_10_30_pnhr_30102014,treated,1678,25,colunar_denso,bb,2014-10-01,0.0,,,,
bb_2014_11_novembro_3011_min_cidades_pf_pf,treated,104880,20,colunar_denso,bb,2014-11-01,0.0,,,,
bb_2014_11_novembro_3011_min_cidades_pj,treated,1760,25,colunar_denso,bb,2014-11-01,0.0,,,,
bb_2014_11_novembro_3011_min_cidades_pj_pf,treated,157446,18,colunar_denso,bb,2014-11-01,0.0,,,,
bb_2014_11_novembro_3011_pnhr_30112014,treated,1864,25,colunar_denso,bb,2014-11-01,0.0,,,,
bb_2014_12_dezembro_min_cidades_pf_pf,treated,111596,20,colunar_denso,bb,2014-12-01,0.0,,,,
bb_2014_12_dezembro_min_cidades_pj,treated,1898,25,colunar_denso,bb,2014-12-01,0.004214963119072708,,,,
bb_2014_12_dezembro_min_cidades_pj_pf,treated,164470,18,colunar_denso,bb,2014-12-01,0.0,,,,
bb_2014_12_dezembro_pnhr_15122014,treated,1946,25,colunar_denso,bb,2014-12-01,0.0,,,,
bb_2014_12_dezembro_pnhr_20141231,treated,2032,25,colunar_denso,bb,2014-12-31,0.0,,,,
bb_2015_01_janeiro_2015_01_15_min_cidades_pf_pf,treated,114306,20,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_01_janeiro_2015_01_15_min_cidades_pj,treated,1882,25,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_01_janeiro_2015_01_15_min_cidades_pj_pf,treated,166454,18,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_01_janeiro_2015_01_15_pnhr_15012015,treated,2042,25,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_01_janeiro_2015_01_31_min_cidades_pf_pf,treated,117338,20,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_01_janeiro_2015_01_31_min_cidades_pj,treated,1864,25,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_01_janeiro_2015_01_31_min_cidades_pj_pf,treated,169260,18,colunar_denso,bb,2015-01-01,0.0,,,,
bb_2015_02_fevereiro_min_cidades_pf_pf,treated,123090,20,colunar_denso,bb,2015-02-01,0.0,,,,
bb_2015_02_fevereiro_min_cidades_pj,treated,1852,25,colunar_denso,bb,2015-02-01,0.0,,,,
bb_2015_02_fevereiro_min_cidades_pj_2015_02,treated,1852,25,colunar_denso,bb,2015-02-01,0.0,,,,
bb_2015_02_fevereiro_min_cidades_pj_pf,treated,175916,18,colunar_denso,bb,2015-02-01,0.0,,,,
bb_2015_02_fevereiro_pnhr_28022015,treated,2046,25,colunar_denso,bb,2015-02-01,0.0,,,,
bb_2015_03_marco_cgu_of_6263_tab_emp_20150831,discarded,0,0,vazia,bb,2015-08-31,0.0,0,0,0,
bb_2015_03_marco_min_cidades_pf_pf,treated,126234,20,colunar_denso,bb,2015-03-01,0.0,,,,
bb_2015_03_marco_min_cidades_pj,treated,1884,25,colunar_denso,bb,2015-03-01,0.0,,,,
bb_2015_03_marco_min_cidades_pj_2015_03,treated,1884,25,colunar_denso,bb,2015-03-01,0.0,,,,
bb_2015_03_marco_min_cidades_pj_pf,treated,180232,18,colunar_denso,bb,2015-03-01,0.0,,,,
bb_2015_03_marco_pnhr_15032015,treated,2042,25,colunar_denso,bb,2015-03-01,0.0,,,,
bb_2015_03_marco_pnhr_31032015,treated,2046,26,colunar_denso,bb,2015-03-01,0.0,,,,
bb_2015_04_abril_min_cidades_pf_pf,treated,135648,20,colunar_denso,bb,2015-04-01,0.0,,,,
bb_2015_04_abril_min_cidades_pj,treated,1878,25,colunar_denso,bb,2015-04-01,0.0,,,,
bb_2015_04_abril_min_cidades_pj_pf,treated,194400,18,colunar_denso,bb,2015-04-01,0.0,,,,
bb_2015_04_abril_pnhr_30042015,treated,2054,25,colunar_denso,bb,2015-04-01,0.0,,,,
bb_2015_05_maio_2015_05_31_min_cidades_pf_pf,treated,141620,20,colunar_denso,bb,2015-05-01,0.0,,,,
bb_2015_05_maio_2015_05_31_min_cidades_pj,treated,1884,25,colunar_denso,bb,2015-05-01,0.0,,,,
bb_2015_05_maio_2015_05_31_min_cidades_pj_pf,treated,200688,18,colunar_denso,bb,2015-05-01,0.0,,,,
bb_2015_06_junho_min_cidades_pf_pf,treated,148010,20,colunar_denso,bb,2015-06-01,0.0,,,,
bb_2015_06_junho_min_cidades_pj,treated,1940,25,colunar_denso,bb,2015-06-01,0.0,,,,
bb_2015_06_junho_min_cidades_pj_pf,treated,208324,18,colunar_denso,bb,2015-06-01,0.0,,,,
bb_2015_08_agosto_loginfesta,discarded,0,0,dados_sem_utilidade,bb,2015-08-01,0.0,0,0,0,
bb_2015_08_agosto_min_cidades_pf_pf,treated,157924,20,colunar_denso,bb,2015-08-01,0.0,,,,
bb_2015_08_agosto_min_cidades_pj,treated,1978,25,colunar_denso,bb,2015-08-01,0.0,,,,
bb_2015_08_agosto_min_cidades_pj_pf,treated,219008,18,colunar_denso,bb,2015-08-01,0.0,,,,
bb_2015_09_setembro_min_cidades_pf_pf,treated,163772,20,colunar_denso,bb,2015-09-01,0.0,,,,
bb_2015_09_setembro_min_cidades_pj,treated,1982,25,colunar_denso,bb,2015-09-01,0.0,,,,
bb_2015_09_setembro_min_cidades_pj_pf,treated,225374,18,colunar_denso,bb,2015-09-01,0.0,,,,
bb_2015_09_setembro_pnhr_30092015,treated,1774,25,colunar_denso,bb,2015-09-01,4.0,,,,
bb_2015_10_outubro_min_cidades_pf_pf,treated,169482,20,colunar_denso,bb,2015-10-01,0.0,,,,
bb_2015_10_outubro_min_cidades_pj,treated,2012,25,colunar_denso,bb,2015-10-01,0.0,,,,
bb_2015_10_outubro_min_cidades_pj_pf,treated,229446,18,colunar_denso,bb,2015-10-01,0.0,,,,
bb_2015_10_outubro_pnhr_31102015,treated,1942,25,colunar_denso,bb,2015-10-01,0.0,,,,
bb_2015_12_dezembro_min_cidades_pf_pf,treated,176774,20,colunar_denso,bb,2015-12-01,0.0,,,,
bb_2015_12_dezembro_min_cidades_pj,treated,2060,42,colunar_denso,bb,2015-12-01,3.7424872861766065,,,,
bb_2015_12_dezembro_min_cidades_pj_pf,treated,243122,18,colunar_denso,bb,2015-12-01,0.0,,,,
bb_2015_12_dezembro_pnhr_31122015,treated,1982,25,colunar_denso,bb,2015-12-01,0.0,,,,
bb_2016_01_janeiro_2016_01_31_min_cidades_pf_pf,treated,178032,20,colunar_denso,bb,2016-01-01,0.0,,,,
bb_2016_01_janeiro_2016_01_31_min_cidades_pj,treated,2074,25,colunar_denso,bb,2016-01-01,0.0,,,,
bb_2016_01_janeiro_2016_01_31_min_cidades_pj_pf,treated,244616,18,colunar_denso,bb,2016-01-01,0.0,,,,
bb_2016_01_janeiro_pnhr_31012016,treated,1988,25,colunar_denso,bb,2016-01-01,0.5311871227364184,,,,
bb_2016_02_fevereiro_2016_02_29_min_cidades_pf_pf,treated,181296,20,colunar_denso,bb,2016-02-01,0.0,,,,
bb_2016_02_fevereiro_2016_02_29_min_cidades_pj,treated,2066,25,colunar_denso,bb,2016-02-01,0.0,,,,
bb_2016_02_fevereiro_2016_02_29_min_cidades_pj_pf,treated,246374,18,colunar_denso,bb,2016-02-01,0.0,,,,
bb_2016_02_fevereiro_pnhr_29022016,treated,1982,25,colunar_denso,bb,2016-02-01,0.0,,,,
bb_2016_04_abril_min_cidades_pf_pf,treated,190980,20,colunar_denso,bb,2016-04-01,0.0,,,,
bb_2016_04_abril_min_cidades_pj,treated,2006,25,colunar_denso,bb,2016-04-01,0.0,,,,
bb_2016_04_abril_min_cidades_pj_pf,treated,286836,18,colunar_denso,bb,2016-04-01,0.0,,,,
bb_2016_04_abril_pnhr_30042016,treated,1994,25,colunar_denso,bb,2016-04-01,0.0,,,,
bb_2016_05_maio_2016_05_31_min_cidades_pf_pf,treated,192822,20,colunar_denso,bb,2016-05-01,5.0,,,,
bb_2016_05_maio_2016_05_31_min_cidades_pj,treated,1984,25,colunar_denso,bb,2016-05-01,4.0,,,,
bb_2016_05_maio_2016_05_31_min_cidades_pj_pf,treated,293560,18,colunar_denso,bb,2016-05-01,5.555555555555555,,,,
bb_2016_05_maio_pnhr_31052016,treated,1996,25,colunar_denso,bb,2016-05-01,0.004008016032064128,,,,
bb_2016_06_junho_2016_06_30_min_cidades_pf_pf,treated,196188,20,colunar_denso,bb,2016-06-01,0.0,,,,
bb_2016_06_junho_2016_06_30_min_cidades_pj,treated,1990,25,colunar_denso,bb,2016-06-01,0.0,,,,
bb_2016_06_junho_2016_06_30_min_cidades_pj_pf,treated,301590,18,colunar_denso,bb,2016-06-01,0.0,,,,
bb_2016_06_junho_pnhr_30062016,treated,2016,25,colunar_denso,bb,2016-06-01,0.23015873015873015,,,,
bb_2016_07_julho_2016_07_31_min_cidades_pj,treated,1986,25,colunar_denso,bb,2016-07-01,0.0,,,,
bb_2016_07_julho_min_cidades_pf_pf,treated,199028,20,colunar_denso,bb,2016-07-01,0.0,,,,
bb_2016_07_julho_min_cidades_pj_pf,treated,310302,18,colunar_denso,bb,2016-07-01,0.0,,,,
bb_2016_07_julho_pnhr_31072016,treated,2016,25,colunar_denso,bb,2016-07-01,0.0,,,,
bb_2018_2018_04_06_pf_pf,treated,230204,20,colunar_denso,bb,2018-04-01,0.0,,,,
bb_2018_2018_04_06_pj,treated,1962,26,colunar_denso,bb,2018-04-01,0.0,,,,
bb_2018_2018_04_06_pj_pf,treated,406360,18,colunar_denso,bb,2018-04-01,0.0,,,,
bb_2018_2018_05_10_pf_pf,treated,232432,20,colunar_denso,bb,2018-05-01,0.0,,,,
bb_2018_2018_05_10_pj,treated,1964,26,colunar_denso,bb,2018-05-01,0.0,,,,
bb_2018_2018_05_10_pj_pf,treated,413964,18,colunar_denso,bb,2018-05-01,0.0,,,,
bb_2018_2018_06_10_pf_pf,treated,234842,20,colunar_denso,bb,2018-06-01,0.0,,,,
bb_2018_2018_06_10_pj,treated,1972,26,colunar_denso,bb,2018-06-01,0.0,,,,
bb_2018_2018_06_10_pj_pf,treated,429472,18,colunar_denso,bb,2018-06-01,0.0,,,,
bb_2018_2018_07_03_pf_pf,treated,236850,20,colunar_denso,bb,2018-07-01,0.0,,,,
bb_2018_2018_07_03_pj,treated,1960,26,colunar_denso,bb,2018-07-01,0.0,,,,
bb_2018_2018_07_03_pj_pf,treated,436298,18,colunar_denso,bb,2018-07-01,0.0,,,,
bb_2018_2018_07_03_pnhr_04072018,treated,1998,25,colunar_denso,bb,2018-07-01,0.004004004004004004,,,,
bb_2018_2018_08_06_pj,treated,1962,26,colunar_denso,bb,2018-08-01,0.0,,,,
bb_2018_2018_08_06_pj_pf,treated,439992,18,colunar_denso,bb,2018-08-01,0.0,,,,
bb_2018_2018_09_10_pf_pf,treated,242928,20,colunar_denso,bb,2018-09-01,0.0,,,,
bb_2018_2018_09_10_pj,treated,1968,26,colunar_denso,bb,2018-09-01,0.0,,,,
bb_2018_2018_09_10_pj_pf,treated,447388,18,colunar_denso,bb,2018-09-01,0.0,,,,
bb_2018_2018_10_01_pf_pf,treated,244860,20,colunar_denso,bb,2018-10-01,0.0,,,,
bb_2018_2018_10_01_pj,treated,1972,26,colunar_denso,bb,2018-10-01,0.0,,,,
bb_2018_2018_10_01_pj_pf,treated,453934,18,colunar_denso,bb,2018-10-01,0.0,,,,
bb_2018_2018_10_30_pf_pf,treated,247770,20,colunar_denso,bb,2018-10-01,5.0,,,,
bb_2018_2018_10_30_pj,treated,1980,26,colunar_denso,bb,2018-10-01,3.8461538461538463,,,,
bb_2018_2018_10_30_pj_pf,treated,463290,18,colunar_denso,bb,2018-10-01,5.555555555555555,,,,
bb_2019_2019_03_07_pf_pf,treated,256854,20,colunar_denso,bb,2019-03-01,0.0,,,,
bb_2019_2019_03_07_pj_pf,treated,2004,26,colunar_denso,bb,2019-03-01,0.0,,,,
bb_2019_2019_05_07_2019_05_07_pj,treated,2008,25,colunar_denso,bb,2019-05-01,0.6334661354581673,,,,
bb_2019_2019_05_07_pf_pf,treated,261114,19,colunar_denso,bb,2019-05-01,0.0,,,,
bb_2019_2019_05_07_pj_pf,treated,482750,17,colunar_denso,bb,2019-05-01,0.0,,,,
caixa_001_2009_10_outubro_2009_pmcmv_08_10_2009___caixa,treated,23,13,sub_tabelas_3,caixa,2009-10-01,36.78929765886287,,,,
caixa_001_2009_12_dezembro_2009_pmcmv_24_12_2009_parte2,treated,19013,18,colunar_denso,caixa,2009-12-01,31.38174465424242,,,,
caixa_001_2010_06___junho_2010_contratação30062010,treated,4450,13,agregado_uf,caixa,2010-06-01,13.763180639585135,,,,
caixa_001_2010_08___agosto_2010_municípios_contratados_1308,treated,58,13,sub_tabelas_3,caixa,2010-08-01,30.76923076923077,,,,
caixa_001_2010_09___setembro_2010_pmcmv06092010_desligados,treated,5354,13,colunar_denso,caixa,2010-09-01,0.7212436424240682,,,,
caixa_001_2011_06_junho_presidencia,treated,11128,21,colunar_denso,caixa,2011-06-01,0.0,,,,
caixa_001_2011_07_julho_presidencia_automatizado_01082011,treated,11128,21,colunar_denso,caixa,2011-07-01,0.0,,,,
caixa_001_2011_08_agosto_demanda_mc_far_pmcmv,treated,2610,24,colunar_denso,caixa,2011-08-01,1.583652618135377,,,,
caixa_001_2011_08_agosto_presidencia_automatizado_mcmvii_082011,treated,11128,21,colunar_denso,caixa,2011-08-01,0.0,,,,
caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11,treated,13684,14,agregado_uf,caixa,2011-11-01,0.032363135257025936,,,,
caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado,treated,7954,30,colunar_denso,caixa,2012-04-01,4.391082055150449,,,,
caixa_001_2012_04_abril_2012_04_18_5b_empreend_contratado,treated,6272,34,colunar_denso,caixa,2012-04-01,7.207570528211285,,,,
caixa_001_2012_04_abril_2012_04_18_5c1__base_contrata__o_pf,treated,30184,23,colunar_denso,caixa,2012-04-01,0.1377061270583897,,,,
caixa_001_2012_04_abril_2012_04_18_rural_18042012,treated,2884,9,event_level,caixa,2012-04-01,0.0,,,,
caixa_001_2012_04_abril_2012_04_30_ajustada_caixa_5d_base_bext,treated,6942,18,colunar_denso,caixa,2012-04-01,0.0,,,,
caixa_001_2012_04_abril_validacao_1604_1804,treated,6210,26,colunar_denso,caixa,2012-04-01,0.0,,,,
caixa_001_2012_05_maio_5b1__base_empreend_contratado,treated,7954,33,colunar_denso,caixa,2012-05-01,3.9941786484406547,,,,
caixa_001_2012_07_julho_bases_relatório_executivo_24_07_12,error,0,0,sub_tabelas_4,,,0.0,,,,"(psycopg2.errors.DuplicateColumn) column ""programa_minha_casa_minha_vida_pmcmv_1_posicao_de_contratacao_e"" specified more than once

[SQL: 
CREATE TABLE dados_historicos_formatados.caixa_001_2012_07_julho_bases_relat_rio_executivo_24_07_12 (
	pmcmv_2_2012_07_24_00_00_00_estagio_de_execucao TEXT, 
	pmcmv_2_2012_07_24_00_00_00_estagio_de_execucao_1 TEXT, 
	pmcmv_2_2012_07_24_00_00_00_estagio_de_execucao_2 TEXT, 
	pmcmv_2_2012_07_24_00_00_00_estagio_de_execucao_3 TEXT, 
	pmcmv_2_2012_07_24_00_00_00_estagio_de_execucao_4 TEXT, 
	pmcmv_2_2012_07_24_00_00_00_subsidio_r TEXT, 
	pmcmv_2_2012_07_24_00_00_00_valor_emprestimo_r FLOAT(53), 
	pmcmv_2_contratacoes_uh TEXT, 
	pmcmv_2_contratacoes_uh_1 TEXT, 
	pmcmv_2_modalidade TEXT, 
	pmcmv_2_posicao_de_contratacao_e_entrega_contratacoes_uh TEXT, 
	pmcmv_2_posicao_de_contratacao_e_entrega_contratacoes_uh_1 TEXT, 
	pmcmv_2_posicao_de_contratacao_e_entrega_subsidio_r TEXT, 
	pmcmv_total_2012_07_24_00_00_00_estagio_de_execucao FLOAT(53), 
	pmcmv_total_2012_07_24_00_00_00_estagio_de_execucao_1 FLOAT(53), 
	pmcmv_total_2012_07_24_00_00_00_estagio_de_execucao_2 FLOAT(53), 
	pmcmv_total_2012_07_24_00_00_00_estagio_de_execucao_3 FLOAT(53), 
	pmcmv_total_2012_07_24_00_00_00_estagio_de_execucao_4 FLOAT(53), 
	pmcmv_total_2012_07_24_00_00_00_subsidio_r FLOAT(53), 
	pmcmv_total_2012_07_24_00_00_00_valor_emprestimo_r FLOAT(53), 
	pmcmv_total_contratacoes_uh FLOAT(53), 
	pmcmv_total_contratacoes_uh_1 FLOAT(53), 
	pmcmv_total_modalidade TEXT, 
	pmcmv_total_posicao_de_contratacao_e_entrega_contratacoes_uh FLOAT(53), 
	pmcmv_total_posicao_de_contratacao_e_entrega_contratacoes_uh_1 FLOAT(53), 
	pmcmv_total_posicao_de_contratacao_e_entrega_subsidio_r FLOAT(53), 
	programa_minha_casa_minha_vida_pmcmv_1_2012_07_24_00_00_00 TEXT, 
	programa_minha_casa_minha_vida_pmcmv_1_2012_07_24_00_00_00_1 TEXT, 
	programa_minha_casa_minha_vida_pmcmv_1_2012_07_24_00_00_00_2 TEXT, 
	programa_minha_casa_minha_vida_pmcmv_1_2012_07_24_00_00_00_3 TEXT, 
	programa_minha_casa_minha_vida_pmcmv_1_2012_07_24_00_00_00_4 TEXT, 
	programa_minha_casa_minha_vida_pmcmv_1_2012_07_24_00_00_00_5 TEXT, 
